Gender,Age,Educational Qualification ,How many online courses have you taken before COVID-19 pandemic? [Before COVID-19] ,"
How many online courses have you taken after COVID-19 pandemic? [After COVID-19] ","
How often do you upskill yourself? ",Which digital platform do you prefer for upskilling?,How much money do you spend on Upskilling in Digital Platforms?,How much do you agree with the features of upskilling given below? [Usefulness] ,"
12. How much do you agree with the features of upskilling given below?
 [Enhances  job opportunities] ","
13. How much do you agree with benefits of upskilling stated below?
 [Improves knowledge] ","
Is upskilling through digital platforms more beneficial than traditional / offline methods?  ","
Would you suggest upskilling through Digital Platform to others? "
Female,19,UG,None,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Female,20,UG,None,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Male,33,Professional,2,3 and more,Whenever required,Udemy,"Less than 10,000",4,3,4,No,Yes
Female,33,Professional,1,3 and more,Whenever required,Udemy,"Less than 10,000",4,4,3,Yes,Yes
Female,24,UG,2,3 and more,Whenever required,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,25,PG,2,3 and more,Whenever required,Coursera,"Less than 10,000",5,4,5,No,Yes
Female,42,Professional,1,2,Whenever required,NPTEL,"Less than 10,000",5,3,4,Yes,Yes
Female,48,Professional,1,3 and more,Whenever required,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Male,45,Professional,2,3 and more,Whenever required,Udemy,"Less than 10,000",5,5,5,No,Yes
Male,26,PG,3 and more,3 and more,Whenever required,Udemy,"Less than 10,000",5,3,5,No,Yes
Male,50,Professional,1,2,Once in every 3 months,Udemy,"Less than 10,000",4,5,5,No,Yes
Female,30,Professional,2,1,Once in a year,Coursera,"Less than 10,000",4,5,5,No,No
Female,20,Diploma,3 and more,2,Once in every 6 months,LinkedIn,"Less than 10,000",5,3,3,Yes,Yes
Female,29,Professional,3 and more,3 and more,Once in every 3 months,NPTEL,"Less than 10,000",4,4,5,No,Yes
Female,20,UG,1,2,Once in a year,Udemy,"Less than 10,000",5,5,5,Yes,Yes
Female,25,UG,None,3 and more,Once in every 3 months,Udemy,"10,000 - 25,000",4,4,5,Yes,No
Female,21,UG,1,3 and more,Once in a year,Coursera,"10,000 - 25,000",5,3,5,Yes,Yes
Female,22,UG,3 and more,3 and more,Once in every 3 months,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,22,UG,1,2,Once in every 3 months,Coursera,"Less than 10,000",3,3,3,Yes,Yes
Female,20,UG,3 and more,3 and more,Once in every 3 months,Coursera,"Less than 10,000",4,4,4,Yes,No
Female,50,Professional,1,3 and more,Whenever required,Coursera,"Less than 10,000",5,3,5,No,Yes
Female,20,UG,1,2,Once in every 3 months,LinkedIn,"Less than 10,000",5,5,5,Yes,Yes
Female,20,UG,1,2,Whenever required,Udemy,"Less than 10,000",5,2,5,Yes,Yes
Female,20,UG,1,2,Whenever required,NPTEL,"Less than 10,000",3,4,4,Yes,Yes
Female,20,UG,1,2,Once in every 3 months,LinkedIn,"Less than 10,000",5,3,5,Yes,No
Male,25,PG,1,1,Whenever required,Udemy,"Less than 10,000",3,3,4,No,Yes
Male,29,Professional,3 and more,1,Once in every 6 months,Coursera,"Less than 10,000",3,3,3,Yes,Yes
Female,20,UG,2,1,Whenever required,LinkedIn,"Less than 10,000",5,5,4,Yes,Yes
Male,21,UG,1,2,Whenever required,Coursera,"Less than 10,000",5,5,5,No,Yes
Female,20,UG,2,3 and more,Once in every 3 months,Coursera,"Less than 10,000",4,3,5,Yes,Yes
Female,21,UG,2,2,Once in every 6 months,Coursera,"Less than 10,000",3,3,3,No,No
Female,20,UG,1,3 and more,Whenever required,Coursera,"Less than 10,000",5,5,5,No,No
Female,20,UG,2,3 and more,Whenever required,Coursera,"Less than 10,000",5,3,5,Yes,Yes
Female,24,PG,2,1,Whenever required,LinkedIn,"Less than 10,000",5,4,4,No,Yes
Female,25,PG,2,3 and more,Once in every 6 months,Udemy,"25,000 - 50,000",5,4,5,Yes,Yes
Female,20,UG,3 and more,3 and more,Whenever required,Coursera,"10,000 - 25,000",3,3,3,No,No
Male,20,UG,1,1,Once in every 6 months,Coursera,"Less than 10,000",4,4,4,Yes,Yes
Female,20,UG,3 and more,3 and more,Once in a year,Coursera,"Less than 10,000",5,5,5,Yes,Yes
Female,21,UG,2,3 and more,Once in every 6 months,LinkedIn,"Less than 10,000",5,4,5,Yes,Yes
Female,20,UG,2,1,Once in a year,Coursera,"Less than 10,000",4,4,4,Yes,Yes
